PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
31,1,3,Passenger_31,female,43.7,1,0,TKT100031,466.29,C150,S
32,1,3,Passenger_32,female,66.2,4,1,TKT100032,274.17,C113,S
33,1,3,Passenger_33,male,62.2,1,1,TKT100033,75.91,C16,S
34,1,2,Passenger_34,female,62.8,0,4,TKT100034,32.87,C26,S
35,0,3,Passenger_35,male,60.9,0,3,TKT100035,169.41,C52,Q
36,0,3,Passenger_36,female,40.8,3,4,TKT100036,482.28,C67,S
37,1,3,Passenger_37,male,67.3,1,3,TKT100037,65.78,C62,S
38,0,2,Passenger_38,male,53.7,0,1,TKT100038,481.27,C65,S
39,0,3,Passenger_39,female,17.9,0,3,TKT100039,453.55,C58,S
40,1,1,Passenger_40,female,79.5,3,2,TKT100040,218.01,C94,S
41,1,1,Passenger_41,female,35.5,0,3,TKT100041,172.4,C17,S
42,0,1,Passenger_42,male,77.7,0,0,TKT100042,138.91,C70,S
43,1,3,Passenger_43,female,68.0,5,2,TKT100043,210.22,C127,S
44,0,3,Passenger_44,male,22.6,5,1,TKT100044,220.06,C163,S
45,1,1,Passenger_45,female,7.1,1,0,TKT100045,138.34,C142,S
46,0,2,Passenger_46,female,49.9,0,4,TKT100046,364.44,C68,Q
47,0,1,Passenger_47,male,74.6,5,2,TKT100047,273.79,C173,S
48,1,1,Passenger_48,female,64.4,2,0,TKT100048,11.8,C49,C
49,0,3,Passenger_49,male,74.8,0,3,TKT100049,337.51,C130,S
50,0,2,Passenger_50,male,78.6,2,1,TKT100050,426.8,C104,C
51,0,3,Passenger_51,male,67.0,0,0,TKT100051,321.73,C15,C
52,1,1,Passenger_52,female,69.7,5,2,TKT100052,308.18,C48,S
53,1,1,Passenger_53,female,0.7,2,2,TKT100053,498.09,C80,S
54,1,1,Passenger_54,male,0.5,3,0,TKT100054,245.12,C130,S
55,1,3,Passenger_55,male,21.4,0,1,TKT100055,206.95,C78,S
56,0,3,Passenger_56,male,47.0,4,1,TKT100056,338.03,C100,C
57,0,3,Passenger_57,female,12.3,5,4,TKT100057,330.76,C132,S
58,0,3,Passenger_58,male,72.8,4,4,TKT100058,428.15,C150,C
59,0,3,Passenger_59,male,7.2,0,1,TKT100059,327.66,C116,Q
60,0,3,Passenger_60,male,50.2,5,1,TKT100060,252.56,C192,S
61,0,3,Passenger_61,male,52.9,0,3,TKT100061,132.11,C187,S
62,0,3,Passenger_62,male,59.3,3,3,TKT100062,433.53,C74,S
63,0,3,Passenger_63,male,6.6,1,2,TKT100063,133.0,C146,C
64,1,1,Passenger_64,female,5.2,2,0,TKT100064,355.63,C133,S
65,0,2,Passenger_65,female,37.5,0,4,TKT100065,105.22,C5,Q
66,0,2,Passenger_66,male,65.7,3,2,TKT100066,200.52,C20,Q
67,0,3,Passenger_67,male,59.9,2,2,TKT100067,71.36,C29,C
68,0,3,Passenger_68,male,40.0,3,3,TKT100068,16.62,C116,S
69,0,2,Passenger_69,male,33.5,3,2,TKT100069,65.42,C87,S
70,0,3,Passenger_70,male,75.2,1,0,TKT100070,462.0,C101,S
71,1,2,Passenger_71,male,29.1,3,2,TKT100071,437.96,C170,S
72,0,2,Passenger_72,male,20.2,2,3,TKT100072,263.57,C110,S
73,0,3,Passenger_73,female,73.1,4,4,TKT100073,107.35,C106,S
74,1,3,Passenger_74,male,51.7,2,3,TKT100074,28.88,C121,Q
75,1,2,Passenger_75,female,24.1,5,2,TKT100075,210.35,C172,S
76,0,2,Passenger_76,male,51.6,0,1,TKT100076,258.31,C116,C
77,1,3,Passenger_77,female,34.4,4,1,TKT100077,128.0,C82,S
78,1,1,Passenger_78,female,64.8,1,0,TKT100078,384.83,C135,S
79,1,1,Passenger_79,female,27.3,0,3,TKT100079,144.98,C129,Q
80,0,3,Passenger_80,male,7.8,1,3,TKT100080,207.08,C6,S
81,0,1,Passenger_81,female,56.9,3,4,TKT100081,252.83,C136,S
82,0,3,Passenger_82,female,20.2,0,1,TKT100082,82.42,C185,S
83,0,3,Passenger_83,female,7.2,0,0,TKT100083,401.41,C166,S
84,1,3,Passenger_84,male,50.3,4,3,TKT100084,358.88,C135,S
85,0,3,Passenger_85,male,31.3,1,4,TKT100085,4.59,C72,S
86,0,3,Passenger_86,male,38.2,1,4,TKT100086,129.51,C79,Q
87,0,1,Passenger_87,male,40.1,5,3,TKT100087,45.19,C95,S
88,1,1,Passenger_88,male,55.8,5,3,TKT100088,188.06,C75,S
89,0,3,Passenger_89,male,16.7,1,2,TKT100089,393.06,C68,S
90,1,3,Passenger_90,female,9.1,4,3,TKT100090,313.93,C171,C
91,0,1,Passenger_91,male,73.8,0,1,TKT100091,16.0,C182,S
92,0,1,Passenger_92,female,36.2,5,2,TKT100092,376.22,C85,Q
93,1,1,Passenger_93,female,2.9,5,3,TKT100093,430.28,C28,Q
94,1,1,Passenger_94,female,6.8,3,0,TKT100094,289.05,C197,C
95,1,3,Passenger_95,female,7.4,5,3,TKT100095,103.42,C83,S
96,1,2,Passenger_96,female,2.8,3,1,TKT100096,416.41,C9,C
97,0,3,Passenger_97,male,20.9,5,0,TKT100097,460.46,C158,S
98,0,1,Passenger_98,female,74.0,2,0,TKT100098,370.56,C17,S
99,1,1,Passenger_99,male,8.9,5,3,TKT100099,488.59,C111,S
100,0,3,Passenger_100,male,74.3,1,0,TKT100100,411.7,C198,C
101,1,1,Passenger_101,male,26.5,2,3,TKT100101,187.82,C51,C
102,1,2,Passenger_102,male,20.1,0,0,TKT100102,248.7,C110,S
103,0,3,Passenger_103,male,21.5,0,1,TKT100103,52.98,C115,S
104,0,1,Passenger_104,male,33.6,4,1,TKT100104,383.97,C32,C
105,1,3,Passenger_105,female,23.8,4,2,TKT100105,193.47,C64,C
106,0,1,Passenger_106,male,12.6,4,1,TKT100106,169.78,C130,S
107,0,3,Passenger_107,male,52.4,0,0,TKT100107,6.28,C115,C
108,0,3,Passenger_108,male,70.2,1,0,TKT100108,29.6,C50,S
109,0,3,Passenger_109,female,41.2,1,3,TKT100109,310.35,C2,C
110,1,1,Passenger_110,female,17.7,2,2,TKT100110,75.82,C154,S
111,0,3,Passenger_111,male,65.3,2,3,TKT100111,348.59,C53,S
112,1,1,Passenger_112,female,44.0,0,3,TKT100112,55.5,C164,S
113,0,3,Passenger_113,male,32.1,2,3,TKT100113,506.03,C14,S
114,1,2,Passenger_114,female,33.4,0,2,TKT100114,331.39,C2,S
115,0,2,Passenger_115,male,34.1,0,3,TKT100115,297.52,C34,S
116,0,1,Passenger_116,male,51.4,3,0,TKT100116,295.02,C44,Q
117,1,1,Passenger_117,female,13.3,1,0,TKT100117,59.27,C51,S
118,0,2,Passenger_118,male,78.1,3,2,TKT100118,31.11,C183,Q
119,0,3,Passenger_119,male,51.4,1,4,TKT100119,209.48,C47,C
120,0,3,Passenger_120,male,32.2,4,1,TKT100120,198.86,C186,S
121,0,3,Passenger_121,male,3.7,4,0,TKT100121,343.29,C117,S
122,1,3,Passenger_122,female,52.1,2,4,TKT100122,130.62,C129,S
123,0,2,Passenger_123,male,0.7,3,3,TKT100123,123.51,C118,C
124,0,3,Passenger_124,female,32.3,0,1,TKT100124,186.16,C130,S
125,0,3,Passenger_125,male,3.6,1,0,TKT100125,472.44,C21,S
126,1,1,Passenger_126,female,52.4,1,0,TKT100126,439.39,C29,Q
127,1,1,Passenger_127,female,23.3,1,1,TKT100127,37.28,C41,S
128,1,2,Passenger_128,female,72.4,3,1,TKT100128,133.11,C152,Q
129,0,2,Passenger_129,male,25.8,0,1,TKT100129,96.5,C174,S
130,0,2,Passenger_130,female,13.8,2,0,TKT100130,394.28,C116,S
131,0,3,Passenger_131,male,20.5,4,3,TKT100131,378.86,C95,S
132,0,3,Passenger_132,female,26.7,0,3,TKT100132,120.86,C76,S
133,1,3,Passenger_133,female,25.1,4,2,TKT100133,376.38,C75,C
134,0,3,Passenger_134,female,33.6,2,0,TKT100134,71.07,C6,S
135,1,1,Passenger_135,female,24.6,4,2,TKT100135,275.33,C35,S
136,1,1,Passenger_136,female,13.0,0,1,TKT100136,363.4,C38,S
137,0,3,Passenger_137,female,32.4,2,0,TKT100137,32.51,C153,C
138,1,3,Passenger_138,female,48.3,4,3,TKT100138,130.24,C137,Q
139,0,1,Passenger_139,male,19.3,0,0,TKT100139,10.27,C37,S
140,1,2,Passenger_140,female,65.1,1,4,TKT100140,161.17,C186,S
141,1,3,Passenger_141,male,30.3,3,3,TKT100141,44.88,C27,S
142,0,2,Passenger_142,male,10.2,5,2,TKT100142,365.54,C112,S
143,1,3,Passenger_143,female,23.9,1,0,TKT100143,451.06,C61,S
144,0,3,Passenger_144,male,75.6,5,2,TKT100144,101.5,C98,S
145,0,3,Passenger_145,female,38.0,4,0,TKT100145,439.62,C147,S
146,1,3,Passenger_146,male,31.6,4,0,TKT100146,291.12,C29,S
147,0,1,Passenger_147,male,27.9,1,0,TKT100147,19.68,C11,S
148,0,3,Passenger_148,male,5.6,4,2,TKT100148,105.25,C171,Q
149,1,1,Passenger_149,female,8.9,1,1,TKT100149,60.88,C193,S
150,1,3,Passenger_150,female,38.4,1,0,TKT100150,406.32,C87,S
151,0,2,Passenger_151,male,28.3,2,0,TKT100151,367.61,C155,S
152,1,3,Passenger_152,female,49.6,0,3,TKT100152,19.87,C121,S
153,1,3,Passenger_153,male,57.3,0,4,TKT100153,420.46,C52,S
154,1,2,Passenger_154,male,0.7,3,0,TKT100154,253.67,C127,C
155,1,3,Passenger_155,female,46.4,1,2,TKT100155,418.14,C43,Q
156,0,1,Passenger_156,male,39.4,5,4,TKT100156,403.76,C103,S
157,0,3,Passenger_157,male,34.0,5,0,TKT100157,192.95,C140,S
158,1,3,Passenger_158,female,78.6,5,1,TKT100158,483.51,C177,S
159,0,3,Passenger_159,male,28.1,2,4,TKT100159,82.91,C190,C
160,1,2,Passenger_160,female,35.3,2,4,TKT100160,121.36,C179,S
161,1,1,Passenger_161,male,21.7,5,4,TKT100161,82.53,C84,S
162,0,3,Passenger_162,female,13.2,2,1,TKT100162,135.41,C43,Q
163,0,3,Passenger_163,male,16.0,1,1,TKT100163,407.8,C51,C
164,0,1,Passenger_164,male,22.8,3,3,TKT100164,21.24,C178,S
165,1,1,Passenger_165,female,37.3,1,2,TKT100165,310.68,C111,S
166,1,3,Passenger_166,female,67.7,5,4,TKT100166,437.04,C117,S
167,0,2,Passenger_167,female,50.4,0,3,TKT100167,127.14,C41,S
168,1,2,Passenger_168,female,38.8,0,4,TKT100168,440.14,C47,S
169,1,3,Passenger_169,female,62.3,3,3,TKT100169,465.36,C56,S
170,0,1,Passenger_170,male,41.7,0,4,TKT100170,236.05,C5,S
171,1,3,Passenger_171,female,41.9,3,3,TKT100171,110.73,C196,S
172,1,3,Passenger_172,female,51.2,2,2,TKT100172,197.97,C108,S
173,0,3,Passenger_173,female,46.6,0,1,TKT100173,158.18,C57,S
174,0,3,Passenger_174,female,37.2,1,1,TKT100174,476.14,C50,S
175,0,3,Passenger_175,male,65.2,1,2,TKT100175,342.35,C106,C
176,0,3,Passenger_176,female,60.9,5,1,TKT100176,400.16,C59,S
177,0,2,Passenger_177,female,55.1,3,1,TKT100177,248.64,C92,C
178,0,2,Passenger_178,female,25.9,3,3,TKT100178,320.67,C40,S
179,0,3,Passenger_179,female,4.9,4,2,TKT100179,402.29,C163,S
180,1,3,Passenger_180,male,17.1,0,2,TKT100180,131.01,C60,S
181,1,1,Passenger_181,female,28.0,1,1,TKT100181,463.28,C177,C
182,0,3,Passenger_182,male,53.6,4,2,TKT100182,104.26,C190,S
183,0,3,Passenger_183,male,44.6,2,3,TKT100183,122.96,C15,S
184,0,3,Passenger_184,male,56.2,1,3,TKT100184,87.63,C42,S
185,1,3,Passenger_185,female,55.8,3,2,TKT100185,431.01,C174,S
186,0,1,Passenger_186,female,51.0,0,0,TKT100186,313.72,C85,S
187,0,3,Passenger_187,male,41.0,3,1,TKT100187,21.22,C87,C
188,1,1,Passenger_188,female,27.6,4,4,TKT100188,395.45,C109,S
189,0,2,Passenger_189,male,66.2,2,2,TKT100189,424.49,C70,S
190,1,3,Passenger_190,female,78.0,5,3,TKT100190,406.31,C77,S
191,0,1,Passenger_191,male,62.8,0,3,TKT100191,371.12,C13,C
192,0,2,Passenger_192,male,0.9,1,3,TKT100192,313.21,C140,S
193,1,3,Passenger_193,male,50.3,5,4,TKT100193,449.17,C163,S
194,0,3,Passenger_194,male,8.5,1,0,TKT100194,218.16,C4,S
195,1,2,Passenger_195,male,63.0,4,2,TKT100195,442.12,C6,S
196,0,2,Passenger_196,male,40.0,4,0,TKT100196,422.98,C179,C
197,1,3,Passenger_197,female,5.8,5,3,TKT100197,305.68,C40,Q
198,1,3,Passenger_198,female,44.1,0,3,TKT100198,111.84,C2,S
199,1,1,Passenger_199,male,78.9,0,1,TKT100199,445.73,C185,S
200,0,3,Passenger_200,female,58.8,1,0,TKT100200,189.86,C38,C
201,0,3,Passenger_201,male,23.7,4,3,TKT100201,237.97,C14,Q
202,0,3,Passenger_202,male,5.2,5,4,TKT100202,44.48,C43,S
203,1,3,Passenger_203,female,48.9,2,2,TKT100203,485.97,C43,C
204,0,1,Passenger_204,male,29.3,5,1,TKT100204,323.89,C116,S
205,0,3,Passenger_205,female,23.7,0,4,TKT100205,498.77,C86,C
206,0,3,Passenger_206,male,66.6,4,2,TKT100206,301.01,C100,Q
207,1,3,Passenger_207,male,64.7,2,0,TKT100207,167.34,C196,S
208,0,3,Passenger_208,male,23.4,1,4,TKT100208,78.68,C141,Q
209,1,3,Passenger_209,female,28.0,0,4,TKT100209,285.27,C193,C
210,0,3,Passenger_210,male,25.0,0,3,TKT100210,240.38,C193,S
211,1,1,Passenger_211,female,37.0,0,4,TKT100211,413.74,C149,C
212,1,3,Passenger_212,female,70.9,4,2,TKT100212,246.11,C50,S
213,1,1,Passenger_213,female,29.3,4,2,TKT100213,208.47,C12,S
214,1,3,Passenger_214,female,30.2,0,2,TKT100214,325.43,C153,C
215,0,1,Passenger_215,female,41.7,0,0,TKT100215,21.06,C125,Q
216,0,3,Passenger_216,male,21.2,2,3,TKT100216,53.33,C156,S
217,1,3,Passenger_217,female,67.6,2,1,TKT100217,509.26,C9,S
218,0,3,Passenger_218,female,39.2,0,4,TKT100218,329.04,C24,Q
219,1,2,Passenger_219,male,51.4,5,4,TKT100219,203.7,C61,S
220,1,3,Passenger_220,male,14.1,2,2,TKT100220,34.11,C13,S
221,1,2,Passenger_221,female,4.8,1,2,TKT100221,387.51,C77,Q
222,1,3,Passenger_222,female,60.7,0,3,TKT100222,168.55,C124,S
223,0,2,Passenger_223,female,19.4,1,0,TKT100223,241.69,C41,Q
224,0,3,Passenger_224,male,6.6,4,2,TKT100224,455.46,C25,S
225,0,3,Passenger_225,female,67.4,5,0,TKT100225,233.79,C123,S
226,0,1,Passenger_226,female,11.8,1,0,TKT100226,95.56,C113,S
227,1,3,Passenger_227,female,33.7,1,1,TKT100227,16.91,C43,S
228,0,2,Passenger_228,male,25.7,3,0,TKT100228,81.91,C172,S
229,1,3,Passenger_229,female,66.9,0,2,TKT100229,387.46,C67,Q
230,0,3,Passenger_230,male,8.2,2,3,TKT100230,459.27,C76,S
231,0,1,Passenger_231,male,35.6,4,2,TKT100231,263.48,C135,S
232,0,2,Passenger_232,female,35.0,3,1,TKT100232,144.64,C134,S
233,0,3,Passenger_233,male,16.1,0,0,TKT100233,455.78,C45,C
234,0,1,Passenger_234,male,46.8,1,0,TKT100234,37.37,C185,C
235,0,3,Passenger_235,female,27.1,5,3,TKT100235,49.89,C35,S
236,1,3,Passenger_236,female,20.2,4,2,TKT100236,22.63,C2,C
237,0,2,Passenger_237,female,77.5,0,0,TKT100237,185.21,C83,S
238,1,3,Passenger_238,female,46.3,0,2,TKT100238,447.38,C132,Q
239,1,1,Passenger_239,male,2.0,0,1,TKT100239,318.49,C143,S
240,0,3,Passenger_240,male,1.9,5,1,TKT100240,136.8,C119,C
241,1,3,Passenger_241,female,8.6,0,1,TKT100241,26.95,C129,S
242,1,3,Passenger_242,male,10.1,3,1,TKT100242,279.13,C172,S
243,1,3,Passenger_243,female,13.5,0,3,TKT100243,356.49,C10,S
244,0,2,Passenger_244,male,62.2,2,3,TKT100244,126.11,C145,S
245,0,3,Passenger_245,female,65.3,4,0,TKT100245,169.04,C91,S
246,1,2,Passenger_246,female,53.2,0,2,TKT100246,59.38,C52,S
247,0,3,Passenger_247,male,18.3,3,3,TKT100247,398.5,C11,Q
248,1,1,Passenger_248,female,73.5,4,2,TKT100248,323.15,C26,C
249,1,2,Passenger_249,male,34.9,0,2,TKT100249,61.43,C16,S
250,1,3,Passenger_250,female,7.1,4,4,TKT100250,477.42,C76,S
251,1,3,Passenger_251,female,22.2,5,0,TKT100251,380.13,C178,S
252,1,3,Passenger_252,female,16.4,5,2,TKT100252,238.13,C121,S
253,0,3,Passenger_253,male,19.7,1,1,TKT100253,264.32,C4,S
254,0,3,Passenger_254,male,69.0,1,2,TKT100254,286.78,C56,S
255,1,2,Passenger_255,male,13.0,0,4,TKT100255,446.61,C100,S
256,0,3,Passenger_256,female,58.9,0,4,TKT100256,118.38,C40,Q
257,0,2,Passenger_257,female,11.6,1,4,TKT100257,314.26,C25,S
258,1,3,Passenger_258,female,21.8,5,1,TKT100258,213.82,C141,S
259,0,3,Passenger_259,female,32.0,4,1,TKT100259,216.3,C156,C
260,1,1,Passenger_260,female,55.5,2,2,TKT100260,152.8,C99,S
261,0,3,Passenger_261,male,63.1,3,3,TKT100261,229.57,C38,S
262,0,2,Passenger_262,female,46.7,0,2,TKT100262,168.52,C84,C
263,1,1,Passenger_263,female,71.3,0,0,TKT100263,28.1,C138,S
264,1,3,Passenger_264,female,41.6,4,3,TKT100264,201.87,C90,S
265,0,3,Passenger_265,male,54.2,4,1,TKT100265,54.27,C144,S
266,0,3,Passenger_266,male,70.4,3,3,TKT100266,208.03,C151,C
267,0,2,Passenger_267,male,14.0,2,2,TKT100267,501.04,C29,C
268,0,3,Passenger_268,female,55.3,4,3,TKT100268,324.6,C54,S
269,0,3,Passenger_269,male,33.2,0,4,TKT100269,310.39,C163,S
270,0,3,Passenger_270,female,1.3,0,2,TKT100270,365.0,C102,S
271,0,3,Passenger_271,male,53.6,1,1,TKT100271,256.91,C166,S
272,0,3,Passenger_272,male,46.1,3,4,TKT100272,65.72,C28,S
273,0,1,Passenger_273,male,14.0,4,3,TKT100273,422.16,C16,S
274,1,3,Passenger_274,female,11.9,1,2,TKT100274,143.93,C150,S
275,0,1,Passenger_275,male,36.2,3,0,TKT100275,31.78,C12,C
276,0,2,Passenger_276,male,20.2,0,1,TKT100276,476.86,C117,C
277,0,2,Passenger_277,female,76.8,3,0,TKT100277,127.41,C57,S
278,1,2,Passenger_278,female,70.1,3,0,TKT100278,406.72,C92,S
279,0,2,Passenger_279,male,77.7,2,3,TKT100279,289.26,C99,S
280,0,2,Passenger_280,male,76.9,3,2,TKT100280,285.35,C89,S
281,1,1,Passenger_281,male,22.6,0,2,TKT100281,412.87,C51,S
282,0,2,Passenger_282,male,44.6,3,1,TKT100282,84.88,C97,S
283,0,3,Passenger_283,male,24.1,3,4,TKT100283,107.86,C181,C
284,1,3,Passenger_284,female,47.2,2,4,TKT100284,129.1,C193,S
285,1,1,Passenger_285,male,43.6,2,3,TKT100285,18.59,C4,C
286,1,2,Passenger_286,male,55.7,1,2,TKT100286,99.66,C93,C
287,0,3,Passenger_287,female,15.7,5,2,TKT100287,48.67,C103,S
288,1,2,Passenger_288,female,67.6,3,1,TKT100288,479.86,C170,S
289,1,3,Passenger_289,female,2.4,5,3,TKT100289,130.2,C161,C
290,1,1,Passenger_290,female,9.6,4,1,TKT100290,365.99,C42,S
291,0,2,Passenger_291,female,12.8,5,0,TKT100291,284.59,C145,S
292,0,3,Passenger_292,female,57.4,2,3,TKT100292,344.43,C29,S
293,0,3,Passenger_293,female,72.1,4,4,TKT100293,357.57,C10,Q
294,0,3,Passenger_294,male,62.3,2,0,TKT100294,215.96,C158,C
295,1,3,Passenger_295,female,42.4,2,3,TKT100295,228.82,C177,S
296,0,3,Passenger_296,female,40.9,5,1,TKT100296,221.6,C33,S
297,0,3,Passenger_297,male,3.9,5,4,TKT100297,136.69,C164,S
298,1,1,Passenger_298,female,20.3,0,1,TKT100298,185.78,C80,S
299,1,1,Passenger_299,female,53.8,1,1,TKT100299,6.99,C165,S
300,1,2,Passenger_300,female,11.0,5,1,TKT100300,302.48,C31,S
301,0,3,Passenger_301,male,54.3,1,4,TKT100301,501.49,C53,C
302,1,1,Passenger_302,female,1.4,3,1,TKT100302,26.05,C29,C
303,1,3,Passenger_303,female,77.0,1,2,TKT100303,230.1,C143,S
304,0,1,Passenger_304,male,37.7,3,0,TKT100304,383.62,C68,S
305,1,1,Passenger_305,female,76.6,3,1,TKT100305,402.21,C24,S
306,1,3,Passenger_306,female,52.4,0,1,TKT100306,383.7,C38,S
307,0,2,Passenger_307,male,77.0,4,1,TKT100307,55.91,C158,C
308,0,2,Passenger_308,male,51.9,2,2,TKT100308,120.95,C65,S
309,0,1,Passenger_309,male,8.9,5,3,TKT100309,463.84,C128,Q
310,1,3,Passenger_310,female,48.4,5,0,TKT100310,76.08,C164,S
311,1,3,Passenger_311,male,78.3,3,3,TKT100311,100.93,C157,C
312,1,3,Passenger_312,female,11.8,0,0,TKT100312,265.43,C113,S
313,0,1,Passenger_313,male,72.4,1,3,TKT100313,154.24,C90,S
314,0,3,Passenger_314,female,7.2,2,4,TKT100314,237.92,C40,Q
315,0,3,Passenger_315,male,65.0,0,2,TKT100315,313.45,C95,S
316,1,3,Passenger_316,male,24.2,2,4,TKT100316,453.63,C174,S
317,0,3,Passenger_317,male,12.1,4,2,TKT100317,285.88,C62,Q
318,0,3,Passenger_318,female,21.2,1,1,TKT100318,496.01,C57,S
319,1,3,Passenger_319,female,52.1,1,4,TKT100319,344.48,C118,C
320,1,1,Passenger_320,male,59.0,4,4,TKT100320,44.76,C113,S
321,0,1,Passenger_321,male,50.3,5,4,TKT100321,55.86,C44,C
322,0,3,Passenger_322,male,45.2,0,1,TKT100322,193.67,C13,S
323,0,2,Passenger_323,male,56.3,1,3,TKT100323,156.36,C23,C
324,0,3,Passenger_324,male,45.2,5,2,TKT100324,89.35,C196,C
325,0,3,Passenger_325,male,66.1,0,1,TKT100325,193.49,C185,C
326,0,3,Passenger_326,female,8.3,4,2,TKT100326,411.93,C173,S
327,1,2,Passenger_327,female,15.8,3,0,TKT100327,429.79,C6,S
328,0,3,Passenger_328,male,64.1,1,1,TKT100328,285.56,C98,S
329,1,3,Passenger_329,female,43.3,5,2,TKT100329,485.97,C39,S
330,0,3,Passenger_330,female,69.9,0,0,TKT100330,96.6,C101,C
331,0,3,Passenger_331,male,55.6,3,3,TKT100331,120.44,C93,Q
332,0,2,Passenger_332,male,25.2,1,4,TKT100332,321.31,C187,S
333,1,3,Passenger_333,female,31.3,2,2,TKT100333,7.04,C6,S
334,0,2,Passenger_334,male,50.6,5,1,TKT100334,142.51,C68,S
335,1,2,Passenger_335,male,79.4,0,4,TKT100335,462.54,C110,S
336,0,3,Passenger_336,male,29.3,2,1,TKT100336,447.39,C78,Q
337,1,3,Passenger_337,female,59.3,4,1,TKT100337,182.02,C16,S
338,1,3,Passenger_338,female,70.7,3,4,TKT100338,190.58,C90,S
339,0,1,Passenger_339,male,1.0,5,3,TKT100339,209.73,C44,S
340,0,3,Passenger_340,male,24.4,2,2,TKT100340,373.14,C88,S
341,0,1,Passenger_341,male,46.8,0,4,TKT100341,94.8,C92,S
342,0,3,Passenger_342,female,57.8,0,3,TKT100342,166.18,C140,S
343,1,1,Passenger_343,male,50.3,1,0,TKT100343,114.9,C155,S
344,1,2,Passenger_344,male,16.1,5,0,TKT100344,493.28,C148,S
345,1,2,Passenger_345,male,0.8,2,4,TKT100345,330.38,C8,S
346,1,1,Passenger_346,female,69.5,0,3,TKT100346,209.9,C15,S
347,0,3,Passenger_347,male,7.3,4,2,TKT100347,398.19,C119,Q
348,0,3,Passenger_348,male,74.1,4,2,TKT100348,32.46,C85,S
349,0,1,Passenger_349,male,12.8,1,4,TKT100349,393.73,C109,S
350,0,2,Passenger_350,male,52.7,4,4,TKT100350,172.07,C183,C
351,0,3,Passenger_351,male,62.2,2,4,TKT100351,500.51,C134,S
352,0,3,Passenger_352,female,10.9,0,4,TKT100352,245.69,C93,S
353,0,1,Passenger_353,male,32.3,0,0,TKT100353,321.31,C53,S
354,0,3,Passenger_354,male,21.0,4,2,TKT100354,378.7,C200,Q
355,1,1,Passenger_355,male,28.3,5,1,TKT100355,228.31,C89,C
356,1,3,Passenger_356,female,37.0,2,0,TKT100356,58.76,C166,C
357,0,3,Passenger_357,female,5.2,4,3,TKT100357,212.24,C161,Q
358,0,3,Passenger_358,male,20.5,2,3,TKT100358,126.85,C109,S
359,1,3,Passenger_359,female,70.4,3,1,TKT100359,502.52,C197,C
360,0,2,Passenger_360,male,65.9,2,0,TKT100360,172.42,C42,S
361,1,2,Passenger_361,female,17.3,0,1,TKT100361,436.48,C199,C
362,1,3,Passenger_362,male,35.0,1,2,TKT100362,352.06,C3,C
363,1,1,Passenger_363,female,12.4,5,2,TKT100363,53.55,C24,S
364,1,2,Passenger_364,female,70.6,0,4,TKT100364,123.18,C10,C
